X,Y,OBJECTID,NAME,ADDRESS,ORIG_ADDRE,PIN,LANDNO,ORDINANCE,EFF_DATE,SE_ANNO_CAD_DATA,PHOTO,DOCUMENT
1280455.83336122,183757.650982887,2574,"Brill Trolley #798, Metro Trolley Barn",11911 E Marginal Way South,Metro Trolley Barn,7666203415,167,107621,1978/03/21 00:00:00+00,,Brill798DON.jpg,brill-trolley-designation-nomination.pdf
1266069.49992922,237146.327997983,2575,Queen Anne Boulevard,XXXXX,Certain Streets on Queen Anne Hill, ,39,0,,,QABoulevard2DON.jpg,queen-anne-blvd-designation-nomination.pdf
1282366.24981597,218550.828115553,2576,Lacey V Murrow Bridge & E Portals of the Mt Baker Tunnels,XXXXX,Lake Washington--Seattle to Mercer Island, ,170,108270,1979/06/11 00:00:00+00,,I-90Bridge5DON.jpg, 
1253939.37491131,247202.734394312,2577,Salmon Bay Bridge,XXXXX,RR lines over Lake Washington Ship Canal, ,9,109738,1981/03/02 00:00:00+00,,SalmonBayBridge1DON.jpg,salmon-bay-bridge-designation-nomination.pdf
1276152.62510414,249032.890510887,2578,Cowan Park Bridge,15th Ave NE / Cowen Pl NE,15th Ave NE through Ravenna Park, ,7,110344,1981/12/28 00:00:00+00,,PLCowenParkBrDON.jpg, 
1277488.6250568,248477.702972978,2579,20th Ave NE Bridge,NE 62nd St / 20th Ave NE,through Ravenna Park, ,8,106143,1977/01/17 00:00:00+00,,20thAveNEBridge4DON.jpg, 
1269783.85536139,232666.251000136,2580,Tugboat Arthur Foss,860 Terry Ave N,Salmon Bay Waterway,7442001550,22,106276,1977/03/07 00:00:00+00,,TugboatArthurFoss1DON.jpg,tugboat-arthur-foss-data-sheet.pdf
1277777.37480739,239553.34385322,2581,Montlake Bridge and Montlake Cut,24th Ave E / E Montlake Pl E,24th Ave E & Montlake Blvd & Lake Washington Ship Canal, ,30,107995,1979/12/13 00:00:00+00,,MontlakeBridge5DON.jpg,montlake-bridge-cut-designation-data-sheet.pdf
1279602.75009364,236724.968932554,2582,Arboretum Aqueduct,Lake Washington Blvd,Lake Washington Blvd, ,40,106070,1976/12/21 00:00:00+00,,AborAqua1DON.jpg,arboretum-aqudeuct-nomination-data-sheet.pdf
1267020.49999572,229246.593797475,2583,"Seattle, Chief of Suquamish Statue, Tillicum Place",5th Ave / Denny Way,"at intersection of 5th Ave, Denny Way, and Cedar St", ,79,112273,1985/05/06 00:00:00+00,,ChiefSeattle4DON.jpg,chief-statue-tillicum-place-designation-nomination.pdf
1272028.12515105,233742.234412476,2584,Lake Union Steam Plant,1179 Eastlake Ave E,1179 Eastlake Ave E,4088802925,59,117251,1994/08/01 00:00:00+00,,LUSteamplant4DON.jpg,lake-union-power-plant-nomination.pdf
