Permit_Number,Expiration_Date,Business Name,Address_No,Address_St,Borough,City,State,Zipcode,BBL,BIN,Census_Tract_2010,City_Council_District,Community_District,NTA_Code,Latitude,Longitude
50038533,03/31/2021,"KLENZOID, INC",460,BRIELLE AVE,STATEN ISLAND,STATEN ISLAND,NY,10314,5009550100,5141697,018100,50,502,SI24,40.593790660708,-74.135436804831
41343608,03/31/2021,LIQUITECH INC,421,EISENHOWER LANE SOUTH,OUTSIDE NYC,LOMBARD,IL,60148,,,,,,,41.840518092099,-88.02411516006
50014370,03/31/2021,"MICROMANAGEMENT, INC",101,LINDENWOOD DR,OUTSIDE NYC,MALVERN,PA,19355,,,,,,,40.050399382669,-75.527103652006
41391123,03/31/2021,NALCO COMPANY,1501,BROADWAY,MANHATTAN,NEW YORK,NY,10036,1010150029,1024706,011900,03,105,MN17,40.741052798709,-73.947258996526
50006549,03/31/2021,ROCHESTER MIDLAND CORPORATION,2644,BOROUGH PL,QUEENS,WOODSIDE,NY,11377,4010170037,4022515,029700,22,401,QN63,40.760868129597,-73.902507380636
40346073,03/31/2021,SENTRY WATER MANAGEMENT CORPORATION,,P.O. BOX 1717,OUTSIDE NYC,WAYNE,NJ,7474,,,,,,,,
40346078,03/31/2020,ACQUA TREAT LTD,110,S 2ND ST,OUTSIDE NYC,NEW HYDE PARK,NY,11040,,,,,,,40.72919077204,-73.691520411641
41684938,03/31/2020,"BARCLAY WATER MANAGEMENT, INC",55,CHAPEL STREET,OUTSIDE NYC,NEWTON,MA,2458,,,,,,,42.363665980124,-71.20170426784
50045007,03/31/2020,"CLARITY WATER TECHNOLOGIES, LLC",50,N HARRISON AVE STE 10,OUTSIDE NYC,CLARKSTOWN,NY,10920,,,,,,,41.153806139891,-73.941521207805
41601700,03/31/2020,ENRICH PRODUCTS INC,1018,PENN AVENUE,OUTSIDE NYC,WILKINSBURG,PA,15221,,,,,,,40.441736990492,-79.8780003408951
50064057,03/31/2020,FORSYTHE PLUMBING AND HEATING CORP,1424,118TH ST,QUEENS,COLLEGE POINT,NY,11356,4040520024,4098004,092900,19,407,QN23,40.78507452518,-73.849497130457
40930302,03/31/2020,GOTHAM REFINING CHEMICAL CORP,23-74,48TH ST,QUEENS,ASTORIA,NY,11103,4007330072,4013608,014100,22,401,QN70,40.766128661355,-73.904376879461
50038533,03/31/2020,"KLENZOID, INC",460,BRIELLE AVE,STATEN ISLAND,STATEN ISLAND,NY,10314,5009550100,5141697,018100,50,502,SI24,40.593790660708,-74.135436804831
41343608,03/31/2020,LIQUITECH INC,421,EISENHOWER LANE SOUTH,OUTSIDE NYC,LOMBARD,IL,60148,,,,,,,41.840518092099,-88.02411516006
50014370,03/31/2020,"MICROMANAGEMENT, INC",101,LINDENWOOD DR,OUTSIDE NYC,MALVERN,PA,19355,,,,,,,40.050399382669,-75.527103652006
41391123,03/31/2020,NALCO COMPANY,1501,BROADWAY,MANHATTAN,NEW YORK,NY,10036,1010150029,1024706,011900,03,105,MN17,40.741052798709,-73.947258996526
50006549,03/31/2020,ROCHESTER MIDLAND CORPORATION,2644,BOROUGH PL,QUEENS,WOODSIDE,NY,11377,4010170037,4022515,029700,22,401,QN63,40.760868129597,-73.902507380636
40346073,03/31/2020,SENTRY WATER MANAGEMENT CORPORATION,,P.O. BOX 1717,OUTSIDE NYC,WAYNE,NJ,7474,,,,,,,,
41547042,03/31/2020,THE METRO GROUP INC,50-23,23 STREET,QUEENS,LONG ISLAND CITY,NY,11101,4001040001,4000749,000100,26,402,QN31,40.741052798709,-73.947258996526
40346078,03/31/2019,ACQUA TREAT LTD,110,S 2ND ST,OUTSIDE NYC,NEW HYDE PARK,NY,11040,,,,,,,40.72919077204,-73.691520411641
41684938,03/31/2019,"BARCLAY WATER MANAGEMENT, INC",55,CHAPEL STREET,OUTSIDE NYC,NEWTON,MA,2458,,,,,,,42.363665980124,-71.20170426784
40623421,03/31/2019,CASCADE WATER SERVICES,113,BLOOMINGDALE ROAD,OUTSIDE NYC,HICKSVILLE,NY,11801,,,,,,,40.744579462671,-73.50564105767
50045007,03/31/2019,"CLARITY WATER TECHNOLOGIES, LLC",50,N HARRISON AVE STE 10,OUTSIDE NYC,CLARKSTOWN,NY,10920,,,,,,,41.153806139891,-73.941521207805
41601700,03/31/2019,ENRICH PRODUCTS INC,1018,PENN AVENUE,OUTSIDE NYC,WILKINSBURG,PA,15221,,,,,,,40.441736990492,-79.8780003408951
50064057,03/31/2019,FORSYTHE PLUMBING AND HEATING CORP,1424,118TH ST,QUEENS,COLLEGE POINT,NY,11356,4040520024,4098004,092900,19,407,QN23,40.78507452518,-73.849497130457
40930302,03/31/2019,GOTHAM REFINING CHEMICAL CORP,23-74,48TH ST,QUEENS,ASTORIA,NY,11103,4007330072,4013608,014100,22,401,QN70,40.766128661355,-73.904376879461
50038533,03/31/2019,"KLENZOID, INC",460,BRIELLE AVE,STATEN ISLAND,STATEN ISLAND,NY,10314,5009550100,5141697,018100,50,502,SI24,40.593790660708,-74.135436804831
41343608,03/31/2019,LIQUITECH INC,421,EISENHOWER LANE SOUTH,OUTSIDE NYC,LOMBARD,IL,60148,,,,,,,41.840518092099,-88.02411516006
50014370,03/31/2019,"MICROMANAGEMENT, INC",101,LINDENWOOD DR,OUTSIDE NYC,MALVERN,PA,19355,,,,,,,40.050399382669,-75.527103652006
41391123,03/31/2019,NALCO COMPANY,1501,BROADWAY,MANHATTAN,NEW YORK,NY,10036,1010150029,1024706,011900,03,105,MN17,40.741052798709,-73.947258996526
50006549,03/31/2019,ROCHESTER MIDLAND CORPORATION,2644,BOROUGH PL,QUEENS,WOODSIDE,NY,11377,4010170037,4022515,029700,22,401,QN63,40.760868129597,-73.902507380636
40346073,03/31/2019,SENTRY WATER MANAGEMENT CORPORATION,,P.O. BOX 1717,OUTSIDE NYC,WAYNE,NJ,7474,,,,,,,,
41547042,03/31/2019,THE METRO GROUP INC,50-23,23 STREET,QUEENS,LONG ISLAND CITY,NY,11101,4001040001,4000749,000100,26,402,QN31,40.741052798709,-73.947258996526
40346078,03/31/2018,ACQUA TREAT LTD,110,S 2ND ST,OUTSIDE NYC,NEW HYDE PARK,NY,11040,,,,,,,40.72919077204,-73.691520411641
41684938,03/31/2018,"BARCLAY WATER MANAGEMENT, INC",55,CHAPEL STREET,OUTSIDE NYC,NEWTON,MA,2458,,,,,,,42.363665980124,-71.20170426784
40623421,03/31/2018,CASCADE WATER SERVICES,113,BLOOMINGDALE ROAD,OUTSIDE NYC,HICKSVILLE,NY,11801,,,,,,,40.744579462671,-73.50564105767
50045007,03/31/2018,"CLARITY WATER TECHNOLOGIES, LLC",50,N HARRISON AVE STE 10,OUTSIDE NYC,CLARKSTOWN,NY,10920,,,,,,,41.153806139891,-73.941521207805
41601700,03/31/2018,ENRICH PRODUCTS INC,1018,PENN AVENUE,OUTSIDE NYC,WILKINSBURG,PA,15221,,,,,,,40.441736990492,-79.8780003408951
50064057,03/31/2018,FORSYTHE PLUMBING AND HEATING CORP,1424,118TH ST,QUEENS,COLLEGE POINT,NY,11356,4040520024,4098004,092900,19,407,QN23,40.78507452518,-73.849497130457
40930302,03/31/2018,GOTHAM REFINING CHEMICAL CORP,23-74,48TH ST,QUEENS,ASTORIA,NY,11103,4007330072,4013608,014100,22,401,QN70,40.766128661355,-73.904376879461
50038533,03/31/2018,"KLENZOID, INC",460,BRIELLE AVE,STATEN ISLAND,STATEN ISLAND,NY,10314,5009550100,5141697,018100,50,502,SI24,40.593790660708,-74.135436804831
41343608,03/31/2018,LIQUITECH INC,421,EISENHOWER LANE SOUTH,OUTSIDE NYC,LOMBARD,IL,60148,,,,,,,41.840518092099,-88.02411516006
50014370,03/31/2018,"MICROMANAGEMENT, INC",101,LINDENWOOD DR,OUTSIDE NYC,MALVERN,PA,19355,,,,,,,40.050399382669,-75.527103652006
41391123,03/31/2018,NALCO COMPANY,1501,BROADWAY,MANHATTAN,NEW YORK,NY,10036,1010150029,1024706,011900,03,105,MN17,40.741052798709,-73.947258996526
50006549,03/31/2018,ROCHESTER MIDLAND CORPORATION,2644,BOROUGH PL,QUEENS,WOODSIDE,NY,11377,4010170037,4022515,029700,22,401,QN63,40.760868129597,-73.902507380636
40346073,03/31/2018,SENTRY WATER MANAGEMENT CORPORATION,,P.O. BOX 1717,OUTSIDE NYC,WAYNE,NJ,7474,,,,,,,,
41547042,03/31/2018,THE METRO GROUP INC,50-23,23 STREET,QUEENS,LONG ISLAND CITY,NY,11101,4001040001,4000749,000100,26,402,QN31,40.741052798709,-73.947258996526
40346078,03/31/2017,ACQUA TREAT LTD,110,S 2ND ST,OUTSIDE NYC,NEW HYDE PARK,NY,11040,,,,,,,40.72919077204,-73.691520411641
41684938,03/31/2017,"BARCLAY WATER MANAGEMENT, INC",55,CHAPEL STREET,OUTSIDE NYC,NEWTON,MA,2458,,,,,,,42.363665980124,-71.20170426784
40623421,03/31/2017,CASCADE WATER SERVICES,113,BLOOMINGDALE ROAD,OUTSIDE NYC,HICKSVILLE,NY,11801,,,,,,,40.744579462671,-73.50564105767
50045007,03/31/2017,"CLARITY WATER TECHNOLOGIES, LLC",50,N HARRISON AVE STE 10,OUTSIDE NYC,CLARKSTOWN,NY,10920,,,,,,,41.153806139891,-73.941521207805
41601700,03/31/2017,ENRICH PRODUCTS INC,1018,PENN AVENUE,OUTSIDE NYC,WILKINSBURG,PA,15221,,,,,,,40.441736990492,-79.8780003408951
40930302,03/31/2017,GOTHAM REFINING CHEMICAL CORP,23-74,48TH ST,QUEENS,ASTORIA,NY,11103,4007330072,4013608,014100,22,401,QN70,40.766128661355,-73.904376879461
50038533,03/31/2017,"KLENZOID, INC",460,BRIELLE AVE,STATEN ISLAND,STATEN ISLAND,NY,10314,5009550100,5141697,018100,50,502,SI24,40.593790660708,-74.135436804831
41343608,03/31/2017,LIQUITECH INC,421,EISENHOWER LANE SOUTH,OUTSIDE NYC,LOMBARD,IL,60148,,,,,,,41.840518092099,-88.02411516006
50014370,03/31/2017,"MICROMANAGEMENT, INC",101,LINDENWOOD DR,OUTSIDE NYC,MALVERN,PA,19355,,,,,,,40.050399382669,-75.527103652006
41391123,03/31/2017,NALCO COMPANY,1501,BROADWAY,MANHATTAN,NEW YORK,NY,10036,1010150029,1024706,011900,03,105,MN17,40.741052798709,-73.947258996526
50006549,03/31/2017,ROCHESTER MIDLAND CORPORATION,2644,BOROUGH PL,QUEENS,WOODSIDE,NY,11377,4010170037,4022515,029700,22,401,QN63,40.760868129597,-73.902507380636
40346073,03/31/2017,SENTRY WATER MANAGEMENT CORPORATION,,P.O. BOX 1717,OUTSIDE NYC,WAYNE,NJ,7474,,,,,,,,
41547042,03/31/2017,THE METRO GROUP INC,50-23,23 STREET,QUEENS,LONG ISLAND CITY,NY,11101,4001040001,4000749,000100,26,402,QN31,40.741052798709,-73.947258996526
40346078,03/31/2016,ACQUA TREAT LTD,110,S 2ND ST,OUTSIDE NYC,NEW HYDE PARK,NY,11040,,,,,,,40.72919077204,-73.691520411641
41684938,03/31/2016,"BARCLAY WATER MANAGEMENT, INC",55,CHAPEL STREET,OUTSIDE NYC,NEWTON,MA,2458,,,,,,,42.363665980124,-71.20170426784
40623421,03/31/2016,CASCADE WATER SERVICES,113,BLOOMINGDALE ROAD,OUTSIDE NYC,HICKSVILLE,NY,11801,,,,,,,40.744579462671,-73.50564105767
41601700,03/31/2016,ENRICH PRODUCTS INC,1018,PENN AVENUE,OUTSIDE NYC,WILKINSBURG,PA,15221,,,,,,,40.441736990492,-79.8780003408951
40930302,03/31/2016,GOTHAM REFINING CHEMICAL CORP,23-74,48TH ST,QUEENS,ASTORIA,NY,11103,4007330072,4013608,014100,22,401,QN70,40.766128661355,-73.904376879461
50038533,03/31/2016,"KLENZOID, INC",460,BRIELLE AVE,STATEN ISLAND,STATEN ISLAND,NY,10314,5009550100,5141697,018100,50,502,SI24,40.593790660708,-74.135436804831
41343608,03/31/2016,LIQUITECH INC,421,EISENHOWER LANE SOUTH,OUTSIDE NYC,LOMBARD,IL,60148,,,,,,,41.840518092099,-88.02411516006
50014370,03/31/2016,"MICROMANAGEMENT, INC",101,LINDENWOOD DR,OUTSIDE NYC,MALVERN,PA,19355,,,,,,,40.050399382669,-75.527103652006
41391123,03/31/2016,NALCO COMPANY,1501,BROADWAY,MANHATTAN,NEW YORK,NY,10036,1010150029,1024706,011900,03,105,MN17,40.741052798709,-73.947258996526
50006549,03/31/2016,ROCHESTER MIDLAND CORPORATION,2644,BOROUGH PL,QUEENS,WOODSIDE,NY,11377,4010170037,4022515,029700,22,401,QN63,40.760868129597,-73.902507380636
40346073,03/31/2016,SENTRY WATER MANAGEMENT CORPORATION,,P.O. BOX 1717,OUTSIDE NYC,WAYNE,NJ,7474,,,,,,,,
41547042,03/31/2016,THE METRO GROUP INC,50-23,23 STREET,QUEENS,LONG ISLAND CITY,NY,11101,4001040001,4000749,000100,26,402,QN31,40.741052798709,-73.947258996526
40346074,03/31/2016,WORLDWIDE WATER TECHNOLOGIES INC,38-17,CRESCENT STREET,QUEENS,LONG ISLAND CITY,NY,11101,4003870009,4004700,003100,26,401,QN68,40.75550650306,-73.936047302602
